user,market_group,total_pnl,trade_count,pnl_per_trade,specialization_score
0x41b7ebfa4948c4201d3a852c8533cf68bc17f6ba,nba_game&tech_ai_launch,47329.646096,154,307.33536425974023,0.9145487257562471
0xeb1e1dd76fdeda6dfcb07d8604a5b5f39e0888d5,mlb_game,46898.436045,77,609.070597987013,0.8626338127930762
0xb00fa072c0166e3671b069940ea826c4ebbedb97,nhl_game,44279.23985000001,57,776.8287692982458,1.0
0x357ecb1969b0a288d37e6a28223e620ef2082a0c,esports_match&music_awards&nhl_game,44007.820882,18,2444.8789378888887,0.9200265514471657
0x629bc4a1e53e1d475beb7ea3d388791e96dd995a,us_politics_events,43862.931577,1159,37.84549747799828,0.9499824189888644
0x6307f73351a28b271043d081d648ddebce9d010b,crypto_launch,41342.10875399999,304,135.99377879605262,1.0
0x37d233470853a5ff49acbe7c01394714e4fc45ee,crypto_launch,41245.627272,224,184.13226460714284,0.8782322077248874
0x83a2ff7cf356d1c90884b51c4ef3e20bf4dcb005,crypto_launch,40234.07372,12,3352.8394766666665,1.0
0xacc8e9dcabf9d65a5c78e3bec6941ed53a2b7d08,other,39374.740513,3294,11.953473136915603,0.8704977153756724
0x7694e0af0d79cb4cf15319b51468c62b53c92b66,crypto_launch,38741.375842,7369,5.2573450728728455,1.0
0xd5f6db48e4d86351ecf317d686ed6b1c69d9db3f,crypto_launch,38000.0,14,2714.285714285714,1.0
0xbc6148ae94b9b0581ed4e270913e7b7c3cd3d368,crypto_launch,37061.76307700002,5022,7.379881138391083,1.0
0x69e7ad68b5f11e97927e4bd938baf7dfb60bd3b0,other,36743.27392500001,78,471.06761442307703,0.9290715995151292
0xd0fd38536e7447899e4924963098bf02fe81a7da,soccer_game,35988.472363,21,1713.7367791904762,1.0
0xd8a26f18448fe3d7fd4909d97ba4d2a96f9f3b96,mlb_game,35652.977701,148,240.89849797972974,0.8102970324969379
0x3a9afce07590105491dd580cc37e8ed7f3a8d206,crypto_launch,34712.0,15,2314.133333333333,1.0
0x88fe4f4a67de98bc21cb908f3b1b233cb4f374ee,crypto_launch,34666.0,14,2476.1428571428573,1.0
0xdccece6b9b6d865abba37f8c37d39c9c46d6136a,mlb_game&nhl_game,34254.857848,20,1712.7428924,1.0
0xa2cced8bfae7d645f7f437fb76becf2fcbb70cbc,other,34212.672170000005,52,657.9360032692309,0.7666070557319592
0xbb2f6c2d96fc8c1c11774c2a6e0c51723699eca9,nfl_game,33631.597203000005,289,116.37230866089968,0.8691716370516945
0x49dd109f63a08ca0abd31bc9f89fc5507d2a2a32,nhl_game,33155.813050000004,305,108.70758377049182,0.768031602167806
0xee67f4f549180f564dd5910b1024b8c6729cef38,soccer_game,32773.85717599999,234,140.05921870085467,1.0
0x4a867a1f268e153de1d359e337914a714fabd3e0,crypto_launch,32350.67159100001,5150,6.281683804077672,0.9167350618602679
0xf142015c4f59b68bc78d17ffb4977d670f0957e7,other,31969.760206,2327,13.738616332617104,0.8030927174767378
0xb13d096b2e90411d0e5f42891d2e73ef4cea2e90,nba_game,31935.662091,5830,5.4778151099485415,0.9361951077868743
0x3503b37fefc017154e96164cf2166b12bfe1b8ba,esports_match&soccer_game&us_politics_figures,31100.17759799999,13,2392.321353692307,0.861127445702508
0xb758b193f68d37653014fdcb6aa05909c367103e,crypto_launch,30846.144652,15,2056.4096434666667,1.0
0x1e3a3d3b980255bab982d366ca1fa2b09c104033,other,30605.241874,199,153.7951852964824,0.798697589757697
0x01dd2926e01c9137439299869a56f7fb14b9f8bb,other,30603.477164000007,372,82.26741173118282,1.0
0x47af49c0146c207706309a3a66e3a434b1407b08,crypto_launch,30314.714,21,1443.5578095238095,1.0
0xb1d9b86fb07776973a3bce4e43652781a9cd4ce3,soccer_game,30214.484121,116,260.4696906982759,1.0
0x006cc834cc092684f1b56626e23bedb3835c16ea,mlb_game,29753.592998,35,850.1026570857143,0.8289390336823674
0xcce2b7c71f21e358b8e5e797e586cbc03160d58b,other,29548.011679,172,171.7907655755814,1.0
0x38455e2ff26a46fbb30cf2307cab428620e76bd9,crypto_launch,29242.5,48,609.21875,1.0
0xe8e126c2e5e02a7e44c80c46e1452081326777bf,mlb_game,28802.701071000003,75,384.03601428,1.0
0x37e053beabee77acc15e641dfe8e395b2b2d024e,soccer_game,28712.867293,601,47.77515356572379,1.0
0x4a6fbad3a44ef0c073c86c242092c4af5b486b82,esports_match,28273.185958,81,349.0516784938271,0.8905993834356982
0x42a6ddf7cf7032972b0bfe32775e8109c5171b64,us_politics_figures,28111.791367,702,40.04528684757835,0.9363467411198524
0xee5faa1ee2eba082e080ad98c236b6115cb49a8b,crypto_launch,27626.619676,10,2762.6619676,0.8892702187789837
0xd43cf929909540b714c054b97d7c53d9f31004e8,esports_match&nba_game,27080.095554,54,501.483251,1.0
0x0e782572d3c18e406edd97ebfe4b9242131e5f8e,nba_game,26935.663997,41,656.9674145609756,1.0
0xe768cc662d3d1fdb33efdda8e5b31f1e4f869d43,mlb_game,26616.779105,1112,23.935952432553957,1.0
0x8f42ae0a01c0383c7ca8bd060b86a645ee74b88f,geopolitics_conflict,26613.451823,236,112.76886365677966,0.8961459862817568
0x74758115886aaf4750d6ee2d464384fba838ec67,crypto_launch,26390.62,19,1388.98,1.0
0x7600ac7e3fe8097be7909ad78224aefd0baf4478,esports_match,26252.310739,952,27.575956658613446,0.9445537711596244
0xc1289c3c99d16b9b7fba7b9c6d9238653a71c08a,crypto_launch,25983.0,14,1855.9285714285713,1.0
0x143732d8a06bd1596c694f7873cd493be80aacfe,crypto_launch,25846.713262,4045,6.3897931426452415,1.0
0x2a923d2f6edbc894e76357104e654b27a0d9071e,crypto_launch,25831.45203000001,3946,6.546237209832745,1.0
0x60a745b72616e9d05105a22036ab084485974dc6,crypto_launch,25755.5,13,1981.1923076923076,1.0
0x9eb2a60819024b7e0a61f9554c634ece58a8c8bf,other,25484.686164,19,1341.2992717894736,0.8803832277248784
0x2185405565c40b6a1aae26562fbf40bdcecef85a,nhl_game,25425.040000000008,13,1955.7723076923082,1.0
0x5cc1062292ca032d80d4899d743bc237921f1058,other,25362.323125999992,13,1950.9479327692302,1.0
0x9fca1c4a10d43306472ec5c900ef59321cd3cc04,crypto_launch,25179.381688,1529,16.46787553172008,1.0
